epoch,acc,loss,lr,val_acc,val_loss
0,0.7766238544304496,0.6742237608555097,1e-04,0.904726068884547,0.3163274461824014
1,0.9136062612843933,0.2856377746663896,1e-04,0.9248946418538286,0.24638082561616365
2,0.9325540169871159,0.22846128063657561,1e-04,0.9185731485979447,0.2852699671037078
3,0.9436751622142214,0.19261110647969584,1e-04,0.939494280769192,0.22488237856419097
4,0.9541106428483775,0.16101188851133286,1e-04,0.9351294398092491,0.2339547939289054
5,0.9607666064579835,0.14118889201659487,1e-04,0.9379891626882237,0.23007809775805774
6,0.9644123352692753,0.126744977632959,1e-04,0.9217338951361747,0.2876586401627625
7,0.9706669342351187,0.10662478535093506,1e-04,0.9370860931099645,0.2299991807867288
8,0.9880259549133721,0.05141127788709637,2e-05,0.9512341963031936,0.20188219505286517
9,0.9927754364840458,0.03424055675380203,2e-05,0.948976520563306,0.22720952415451956
10,0.994615024416349,0.0255271038019804,2e-05,0.9507826609040225,0.23638575624120586
11,0.9957187771757308,0.02026813067898281,2e-05,0.9491270323032216,0.273862232794466
12,0.9959863536022476,0.01766234396902302,2e-05,0.9461167971460593,0.3015078509485485
13,0.9971402769416015,0.011475901903748417,4e-06,0.9506321495229547,0.30068563033413415
14,0.997943006221152,0.008041899773165292,4e-06,0.9498795908233763,0.3169364615207261
15,0.9982942002809553,0.006559706577850886,4e-06,0.9486754965452026,0.33449650781474727
16,0.9985259544196372,0.021496719309634,2e-05,0.948209464178564936,0.3108216990201625
17,0.998025441196372,0.02141945439788709639,2e-05,0.951809378293836,0.3090169967104
18,0.998725941963217,0.02141127950977532,2e-05,0.9502418538564936,0.282859968511332
19,0.9980441631963345,0.02140977580509637,2e-05,0.95089431936,0.29769918590286511
